fgbg,fg,bg
B6F2CE1D,B6F2,CE1D
E9F56456,E9F5,6456
645656A0,6456,56A0
95A456A0,95A4,56A0
E9F556A0,E9F5,56A0
367E56A0,367E,56A0
22B7D60E,22B7,D60E
D60ED6DD,D60E,D6DD
F254D6DD,F254,D6DD
D6DD2096,D6DD,2096
D6DD0CB9,D6DD,0CB9
D6DD3B30,D6DD,3B30
D6DD9333,D6DD,9333
D6DD3C47,D6DD,3C47
D6DDA2F9,D6DD,A2F9
C9B52096,C9B5,2096
C9B50CB9,C9B5,0CB9
7AA90CB9,7AA9,0CB9
E0733B30,E073,3B30
F8F4E073,F8F4,E073
AB06E073,AB06,E073
E0730C30,E073,0C30
AF419333,AF41,9333
264C3322,264C,3322
8F730BCA,8F73,0BCA
0BCA7190,0BCA,7190
8F737190,8F73,7190
7190DD5D,7190,DD5D
22B73CF8,22B7,3CF8
3CF81CE0,3CF8,1CE0
F2541CE0,F254,1CE0
1CE0CBC6,1CE0,CBC6
1CE0ABD8,1CE0,ABD8
1CE05F60,1CE0,5F60
65BFCBC6,65BF,CBC6
146565BF,1465,65BF
B6161A69,B616,1A69
D4D11A69,D4D1,1A69
44B51A69,44B5,1A69
1A69CECA,1A69,CECA
264CB589,264C,B589
264C5811,264C,5811
264C6868,264C,6868
264C749E,264C,749E
264C665F,264C,665F
264C41D9,264C,41D9
264C8CFF,264C,8CFF
264C31A5,264C,31A5
264CD069,264C,D069
5B44B589,5B44,B589
B5899F43,B589,9F43
5811A510,5811,A510
6868665F,6868,665F
749E9F43,749E,9F43
749E665F,749E,665F
3546665F,3546,665F
DE8C665F,DE8C,665F
4D68665F,4D68,665F
5D2B665F,5D2B,665F
F8C6665F,F8C6,665F
33E1665F,33E1,665F
A452665F,A452,665F
DD318CFF,DD31,8CFF
8CFF88A7,8CFF,88A7
D3EB31A5,D3EB,31A5
F183D069,F183,D069
2472D069,2472,D069
AE281465,AE28,1465
38171465,3817,1465
F0001465,F000,1465
10391465,1039,1465
51371465,5137,1465
41281465,4128,1465
64771465,6477,1465
B6461465,B646,1465
11091465,1109,1465
31731465,3173,1465
1465CAA7,1465,CAA7
1465DD2A,1465,DD2A
14650DD3,1465,0DD3
1465935D,1465,935D
1465D245,1465,D245
1465AA8D,1465,AA8D
1465AE28,1465,AE28
14653817,1465,3817
1465CC51,1465,CC51
9AA3CAA7,9AA3,CAA7
6862DD2A,6862,DD2A
F73ADD2A,F73A,DD2A
DD2ADDF4,DD2A,DDF4
DD2A5721,DD2A,5721
DD2A6862,DD2A,6862
DB4FD4D1,DB4F,D4D1
0DD3CBBB,0DD3,CBBB
D4D1FB30,D4D1,FB30
6718935D,6718,935D
D4D18E05,D4D1,8E05
D14F935D,D14F,935D
D4D1E23E,D4D1,E23E
D4D198C7,D4D1,98C7
4A3BCECA,4A3B,CECA
935D7F8F,935D,7F8F
D4D13FB1,D4D1,3FB1
B654CECA,B654,CECA
D14FD245,D14F,D245
D4D1A9BE,D4D1,A9BE
5487CECA,5487,CECA
4583D245,4583,D245
D4D18F15,D4D1,8F15
4EB1D245,4EB1,D245
D4D1F9AB,D4D1,F9AB
D4D13BFC,D4D1,3BFC
511BAA8D,511B,AA8D
5171AA8D,5171,AA8D
350EB6F2,350E,B6F2
AA8D8BA2,AA8D,8BA2
22F7B6F2,22F7,B6F2
AD80AE28,AD80,AE28
0B76B6F2,0B76,B6F2
8DE3FB30,8DE3,FB30
B6F22722,B6F2,2722
FB306ABC,FB30,6ABC
B6F23148,B6F2,3148
2E053817,2E05,3817
C3368E05,C336,8E05
F6898E05,F689,8E05
E8D72722,E8D7,2722
8E05A755,8E05,A755
1039CC51,1039,CC51
51DCCC51,51DC,CC51
3A382722,3A38,2722
5D13E23E,5D13,E23E
2722E8D7,2722,E8D7
E6F6E23E,E6F6,E23E
CC51AAFD,CC51,AAFD
CC51F000,CC51,F000
E23E387A,E23E,387A
2A343148,2A34,3148
E23E61CE,E23E,61CE
EC6D3148,EC6D,3148
BAF53148,BAF5,3148
982098C7,9820,98C7
3D543148,3D54,3148
D759E9F5,D759,E9F5
5DB83148,5DB8,3148
9B7D98C7,9B7D,98C7
AA373148,AA37,3148
E81698C7,E816,98C7
3148477B,3148,477B
E9F57464,E9F5,7464
31480121,3148,0121
98C76A5C,98C7,6A5C
E9F574DE,E9F5,74DE
E9F5E7DF,E9F5,E7DF
0FBC3FB1,0FBC,3FB1
E9F57CDE,E9F5,7CDE
E9F5E2EB,E9F5,E2EB
8CCC3FB1,8CCC,3FB1
E9F5EE33,E9F5,EE33
3FB17867,3FB1,7867
E9F5DE17,E9F5,DE17
B8F8367E,B8F8,367E
37E5A9BE,37E5,A9BE
E9F5DF28,E9F5,DF28
3140367E,3140,367E
4F33367E,4F33,367E
0049A9BE,0049,A9BE
A9BE5EC8,A9BE,5EC8
367E9BCF,367E,9BCF
A9BE8812,A9BE,8812
A9BE8C30,A9BE,8C30
367E0F85,367E,0F85
A9BE11E6,A9BE,11E6
367E0BEB,367E,0BEB
A9BE93B6,A9BE,93B6
367EE121,367E,E121
A9BE6B92,A9BE,6B92
367E2472,367E,2472
0FE07464,0FE0,7464
55B08F15,55B0,8F15
367E46E9,367E,46E9
74641ECB,7464,1ECB
70A68F15,70A6,8F15
7464A298,7464,A298
8F15DA75,8F15,DA75
E7DF74DE,E7DF,74DE
8F1526A0,8F15,26A0
37CE74DE,37CE,74DE
8F155105,8F15,5105
AB2274DE,AB22,74DE
7DE59BCF,7DE5,9BCF
F78EF9AB,F78E,F9AB
1D509BCF,1D50,9BCF
7CDEE7DF,7CDE,E7DF
B970F9AB,B970,F9AB
37CEE7DF,37CE,E7DF
F9AB822E,F9AB,822E
367ED657/38DF,367E,D657/38DF
F9AB3582,F9AB,3582
F9ABD141,F9AB,D141
F9ABDF11,F9AB,DF11
16EE0F85,16EE,0F85
F9AB5107,F9AB,5107
E08B0F85,E08B,0F85
910C0F85,910C,0F85
3C153BFC,3C15,3BFC
2B2D0F85,2B2D,0F85
ECDFE2EB,ECDF,E2EB
BB503BFC,BB50,3BFC
FDABEE33,FDAB,EE33
B28D3BFC,B28D,3BFC
0F853ECE,0F85,3ECE
26263BFC,2626,3BFC
0F8516EE,0F85,16EE
3BFC7124,3BFC,7124
0F8595C3,0F85,95C3
80C6DE17,80C6,DE17
3BFC610C,3BFC,610C
2A16DE17,2A16,DE17
A1220BEB,A122,0BEB
3BFC56F3,3BFC,56F3
3BFCB447,3BFC,B447
DE17B4AB,DE17,B4AB
3BFCCBF8,3BFC,CBF8
3A54E121,3A54,E121
DE1786E8,DE17,86E8
3BFC01E3,3BFC,01E3
CD09E121,CD09,E121
DE17E4D6,DE17,E4D6
3BFC56B9,3BFC,56B9
2866E121,2866,E121
DE17F251,DE17,F251
DE178ACF,DE17,8ACF
DE177952,DE17,7952
767B2472,767B,2472
B682DF28,B682,DF28
9717DF28,9717,DF28
AB9CDF28,AB9C,DF28
B13E46E9,B13E,46E9
B4F0DF28,B4F0,DF28
CE7946E9,CE79,46E9
7A13DF28,7A13,DF28
3A5446E9,3A54,46E9
1100DF28,1100,DF28
850D46E9,850D,46E9
8DE0DF28,8DE0,DF28
D89046E9,D890,46E9
BC95DF28,BC95,DF28
15A846E9,15A8,46E9
2503DF28,2503,DF28
266046E9,2660,46E9
28BE44B5,28BE,44B5
016744B5,0167,44B5
021944B5,0219,44B5
446C44B5,446C,44B5
44B53DFC,44B5,3DFC
44B5AF4B,44B5,AF4B
44B529A8,44B5,29A8
44B51873,44B5,1873
44B54C60,44B5,4C60
44B52B93,44B5,2B93
44B530C1,44B5,30C1
44B5DBAA,44B5,DBAA
44B50724,44B5,0724
36F13DFC,36F1,3DFC
3DFC0995,3DFC,0995
AAB6AF4B,AAB6,AF4B
F6D6AF4B,F6D6,AF4B
AF4BBC30,AF4B,BC30
AF4BD418,AF4B,D418
987029A8,9870,29A8
0F5229A8,0F52,29A8
29A85EDF,29A8,5EDF
A90C1873,A90C,1873
E3E41873,E3E4,1873
68EB1873,68EB,1873
18731971,1873,1971
18735F4A,1873,5F4A
49A54C60,49A5,4C60
4A2F4C60,4A2F,4C60
4C6070AF,4C60,70AF
119A2B93,119A,2B93
0A622B93,0A62,2B93
2B939417,2B93,9417
2B9365D8,2B93,65D8
B21D30C1,B21D,30C1
300030C1,3000,30C1
30C1A239,30C1,A239
1277DBAA,1277,DBAA
7D8ADBAA,7D8A,DBAA
DBAA14E7,DBAA,14E7
295D0724,295D,0724
85A90724,85A9,0724
07241D2C,0724,1D2C
0724A341,0724,A341
0724CB45,0724,CB45
7BC0C9B5,7BC0,C9B5
5FDEC9B5,5FDE,C9B5
C9B57AFC,C9B5,7AFC
C9B51CE8,C9B5,1CE8
A0C27AFC,A0C2,7AFC
516A7AFC,516A,7AFC
9B8C7AFC,9B8C,7AFC
4BBF7AFC,4BBF,7AFC
3A5C7AFC,3A5C,7AFC
88407AFC,8840,7AFC
DEFB7AFC,DEFB,7AFC
80B27AFC,80B2,7AFC
D1AD7AFC,D1AD,7AFC
B45D7AFC,B45D,7AFC
7AFC878F,7AFC,878F
A0C21CE8,A0C2,1CE8
FB6D3C47,FB6D,3C47
18701CE8,1870,1CE8
9EFA3C47,9EFA,3C47
11BFA2F9,11BF,A2F9
36A5A2F9,36A5,A2F9
1583A2F9,1583,A2F9
DA9CA2F9,DA9C,A2F9
038FA2F9,038F,A2F9
A0C27AA9,A0C2,7AA9
3D317AA9,3D31,7AA9
74637AA9,7463,7AA9
AD807AA9,AD80,7AA9
34877AA9,3487,7AA9
DA9C7AA9,DA9C,7AA9
DCCD7AA9,DCCD,7AA9
38E17AA9,38E1,7AA9
62B67AA9,62B6,7AA9
F3D97AA9,F3D9,7AA9
7AA9A0C2,7AA9,A0C2
7AA95FDE,7AA9,5FDE
7AA97404,7AA9,7404
7AA93487,7AA9,3487
7AA9DF43,7AA9,DF43
7AA95823,7AA9,5823
11BFA0C2,11BF,A0C2
4D89A0C2,4D89,A0C2
A0C24D89,A0C2,4D89
C6DC5FDE,C6DC,5FDE
5FDEE96B,5FDE,E96B
B84E7404,B84E,7404
7404E304,7404,E304
3CC53487,3CC5,3487
47543487,4754,3487
876EDF43,876E,DF43
DF437AA9,DF43,7AA9
